address,date_added,description,phone,price,seller,title
"Wayside Mount, Scarcroft, LS14",Added on 08/04/2021,A sensational five-bedroom detached family home which extends to approximately 5000 sqft and offers an impressive array of individual features; coupled with breath taking panoramic views across open countryside.,01937 358014,"£1,250,000","Furnell Residential, Leeds",5 bedroom detached house for sale
"The View, Tranby Lane, Swanland",Added on 19/01/2021,"Nearing completion is this magnificent detached residence by Church Gate Homes, being part of this flagship development of 'The View'. With around 4,000 sq.ft. of fabulous high spec accommodation affording the very best of modern living. Other plots available.",01482 750079,"£1,250,000","Matthew Limb Estate Agents Ltd, Brough",4 bedroom detached house for sale
"Wood Bottom Road, Netherton, Huddersfield",Reduced on 14/04/2021,"WITH AN IMPRESSIVE STABLE BLOCK, AND SITTING IN LAND, GARDENS THAT APPROACHES TWO ACRES THIS BEAUTIFUL FAMILY HOME ENJOYS EXCEPTIONAL VIEWS ACROSS THE UPPER PORTION OF THE MAGDALE VALLEY AND IS DELIGHTFULLY SITUATED BETWEEN THE VILLAGES OF HONLEY AND NETHERTON. MAJESTICALLY STOOD AT THE HEAD OF I...",01484 977034,"£1,250,000","Simon Blyth, Holmfirth",6 bedroom detached house for sale
"Old West Farm, Wilberfoss, Near York, YO41",Added on 25/05/2021,"An immaculately presented family house, set within fabulous gardens and grounds including a lake which extend to approximately 21 acres in total, together with two substantial modern outbuildings and enjoying a private, yet convenient semi-rural location adjoining open fields and just to the east...",01625 909043,"£1,250,000","Jackson-Stops, Alderley Edge",4 bedroom detached house for sale
"Tockwith Lane, Cowthorpe, Wetherby, West Yorkshire",Reduced on 29/03/2021,A newly-built six bedroom detached family home in a sought-after village location near to Wetherby.,01423 429044,"£1,250,000","Strutt & Parker, Harrogate",6 bedroom detached house for sale
South Duffield NORTH YORKSHIRE,Added on 10/05/2021,"SET IN APPROX. 20 ACRES A SIX BEDROOM DETACHED HOME WITH EXTENSIVE EQUESTRIAN FACILITIES INCLUDING STABLING, ARENA, BARNS AND HORSE WALKER, IN A POPULAR AND ACCESSIBLE ...",01264 570018,"£1,250,000","Rural Scene, Collingbourne Ducis",6 bedroom detached house for sale
"Edge Moor Barn, Ringstone, Barkisland",Added on 11/05/2021,"A sympathetically converted, five bedroom, executive barn conversion which has been completed to the highest standard throughout. Located directly opposite the idyllic Ringstone reservoir and with truly exceptional open rural views to all aspects and situated in approximately 2 acres of lawn and ...",01422 757067,"£1,250,000","Edkins & Holmes Estate Agents Ltd, Halifax",5 bedroom detached house for sale
"Trafalgar Square, Scarborough, YO12 7PZ  ",Added on 28/05/2021,+++Offered to the market with NO ONWARD CHAIN is this ONE BEDROOM FIRST FLOOR LEASEHOLD apartment which is situated within a substantial END-TERRACE building with OPEN ASPECT VIEWS over SCARBOROUGH CRICKET GROUND and in close proximity to SCARBOROUGH'S NORTH BAY+++ The property could be of par...,01723 315026,"£45,000","CPH Property Services, Scarborough",1 bedroom flat for sale
"The Stables, Swinton Grange Estate, Malton, YO17 6QT",Added on 28/04/2021,"Luxury country house with gardens and paddock of an acre, in the Howardian Hills near Malton.",01653 511021,"£1,250,000","Rounthwaite & Woodhead, Malton",3 bedroom detached house for sale
"Sutton Barn, York Road, Sutton on the Forest, York",Added on 01/04/2021,"Substantial rural barn conversion with gardens and grounds of more than three acres, conveniently located for rapid access to York.",01904 200049,"£1,250,000","Blenkin & Co, York",6 bedroom house for sale
"Ladyfield Road, Thorpe Salvin, Worksop",Added on 25/05/2021,"Thorpe Salvin Hall occupies a slightly elevated position on the outskirts of this delightful village resulting in stunning views in all directions; a hugely characterful Victorian home offering spacious versatile accommodation, displaying original period features throughout and set within grounds...",0114 467 1597,"£1,250,000","Saxton Mee, Sheffield",5 bedroom detached house for sale
"Wilton, near Pickering ",Added on 24/05/2021,"A MULTI FACETED LIFESTYLE & LEISURE PROPERTY COMPRISING AN ATTRACTIVE GRADE II LISTED MAIN HOUSE, FOUR HOLIDAY COTTAGES, RANGE OF AGRICULTURAL BUILDINGS & STABLES AND LAND AMOUNTING TO APPROXIMATELY 14 ACRES ",01751 631005,"£1,250,000","Cundalls, Pickering",5 bedroom detached house for sale
"The Old Parsonage, Brafferton, Helperby, York YO61 2QB",Added on 24/05/2021,A GLORIOUS EDWARDIAN FAMILY HOME OFFERING BEAUTIFUL ACCOMMODATION WITH SEPARATE ANNEXE SET WITHIN MATURE GARDENS AND GROUNDS OF JUST UNDER 1 ACRE,01904 200080,"£1,250,000","Croft, York",8 bedroom detached house for sale
"Manor Grange Stud, Cridling Stubbs",,"**MANOR GRANGE STUD** A RED RIBBON SHOWPIECE A rare and unique opportunity has arisen to purchase one of West Yorkshire’s highly regarded equestrian show centres. Set within approximately 10.5 acres of grounds, Manor Grange Stud is a Dressage Riders and Show Jumper’s dream offering...",01977 325011,"£1,250,000","Enfields Luxe, Pontefract",5 bedroom smallholding for sale
"Park Parade, Harrogate",Reduced on 26/04/2021,SITUATED WITHIN CLOSE PROXIMITY OF HARROGATE TOWN CENTRE OVER LOOKING THE STRAY 4 EXCEPTIONALLY WELL MAINTAINED APARTMENTS OVER TWO FLOORS ALLOCATED PARKING TO THE REAR FOR EACH APARTMENT APPROXIMATELY 38K RENTAL INCOME PA STUNNING PERIOD BUILDING CONTAINING A WEALTH OF CHARM AND ...,01423 429097,"£1,250,000","Craven Holmes Estate Agents, Boroughbridge",7 bedroom block of apartments for sale
"Park Parade, Harrogate",Reduced on 31/03/2021,"A very impressive and most individual Strayside Grade II Listed detached property enjoying an enviable position directly overlooking the famous 200-acre Harrogate Stray. This fine period property offers extensive accommodation arranged over five levels and extending to over 6,000 square feet. ",01423 429051,"£1,250,000","Verity Frearson, Harrogate",7 bedroom detached house for sale
"Moyola Lodge, 21a West Street, Swinton, Malton",Added on 15/05/2021,"An impressive house in a superb setting with an annexe, paddocks, gardens and views",01904 200049,"£1,250,000","Blenkin & Co, York",6 bedroom house for sale
"The Stables, Swinton, Malton",Added on 28/04/2021,"Luxury country house with gardens and paddock of an acre, in the Howardian Hills near Malton",01904 200049,"£1,250,000","Blenkin & Co, York",3 bedroom house for sale
"Hagg Lane, South Duffield, Selby",Added on 12/05/2021,"****NO ONWARD CHAIN **** A rare opportunity to acquire this mixed residential, commercial and equestrian site stretching to over 20 acres in total including a stunning 6 bedroom detached house, agricultural heated barn, insulated and heated commercial unit, 20 stables and a fully booked ...",01904 200060,"£1,250,000","Stephensons, Haxby",6 bedroom house for sale
"Old West Farm, Wilberfoss, York",Added on 26/02/2021,"Beautifully restored Yorkshire farmhouse with glorious gardens, lake, land of 21 acres and outbuildings, within an easy commute to York.",01904 200049,"£1,250,000","Blenkin & Co, York",4 bedroom detached house for sale
"Blackmoor Lane, Bardsey, LS17",Added on 13/04/2021,An impressive double fronted six-bedroom detached home which extends to approximately 4000 sqft and offers an impressive array of individual features; coupled with breath taking panoramic views across open countryside.,01937 358014,"£1,250,000","Furnell Residential, Leeds",6 bedroom detached house for sale
"Bolton Old Hall, Bolton On Swale, North Yorkshire",Added on 10/05/2021,Historic country house with a peel tower set in glorious walled gardens of almost 2 acres.,01904 200049,"£1,250,000","Blenkin & Co, York",5 bedroom house for sale
"Main Street, East Keswick, LS17",Added on 19/05/2021,An extremely rare opportunity to acquire this substantial five-bedroom period home which set within beautifully maintained gardens in the centre of East Keswick.,01937 358014,"£1,250,000","Furnell Residential, Leeds",5 bedroom detached house for sale
"Saddleworth Road, Barkisland, Halifax",Added on 12/05/2021,"A STUNNING CONVERSION OF A FORMER AGRICULTURAL BUILDING INTO A BEAUTIFUL FEATURE PACKED CONTEMPORARY HOME STANDING BEHIND AN ELECTRIC GATE IN APPROXIMATELY CIRCA 2 ACRES WITH BREATH TAKING VIEWS, EXTENSIVE PARKING, OAK FRAMED OPEN DOUBLE GARAGE, FORMAL GARDENS AND GRASSLAND. This stunning pr...",01484 977033,"£1,250,000","Simon Blyth, Huddersfield",5 bedroom barn conversion for sale
"Park Parade, Harrogate, North Yorkshire",Reduced on 30/04/2021,"An extremely rare opportunity to purchase four luxury apartments as a whole or individually, located in the very heart of the Harrogate town centre.",01423 429044,"£1,250,000","Strutt & Parker, Harrogate",8 bedroom flat for sale
"Station Road, Scarborough, YO13 0PU  ",Added on 26/06/2020,"+++Occupying a highly desirable position within the ever popular village of SCALBY, this IMPOSING DETACHED FAMILY HOME is set on SUBSTANTIAL GROUNDS and provides DECEPTIVELY SPACIOUS MULTI-GENERATIONAL LIVING via FIVE BEDROOMS, THREE RECEPTION ROOMS, TWO CONSERVATORIES, GARAGE with a WORKSHOP and...",01723 315026,"£1,250,000","CPH Property Services, Scarborough",6 bedroom detached house for sale
"Sproxton, York, North Yorkshire",Added on 27/05/2021,A superbly positioned property with enormous development potential (subject to obtaining planning and other necessary consents) in a glorious elevated position on the edge of the Howardian Hills AONB with commanding southerly views.,01904 611828,"£1,250,000","Humberts, York",4 bedroom detached house for sale
"Station Road, Foggathorpe, SELBY",Added on 05/03/2021,An impressive individual detached residence - beautifully located in its own grounds of around 6 acres or there abouts including a private stocked 3 acre (approx) lake. The property offers extremely spacious and versatile living accommodation including a 1 bedroomed annex and loft space above. Th...,01757 820024,"£1,250,000","Ashtons Estate Agents, Selby",5 bedroom detached house for sale
"Gillroyd Lane, Stainborough",Added on 07/01/2020,An individually designed and built country home discreetly situated within tree lined grounds of approximately 5 acres presenting spacious accommodation and creating a statement of both grandeur and charm.,0114 467 1554,"£1,250,000","Fine & Country, Sheffield",5 bedroom detached house for sale
"Barwick Road, Garforth, Leeds, LS25",Added on 15/05/2021,"Seven bedroom house and a six bedroom bungalow set in large gardens in Garforth, Leeds.",01904 200057,"£1,250,000","Savills, York",7 bedroom detached house for sale
"Stainton Cotes, Coniston Cold",Added on 23/04/2021,"A WONDERFUL AND UNIQUE OPPORTUNITY TO HAVE YOUR VERY OWN GRAND DESIGN WITH THIS BRAND NEW CONVERSION CREATING A FOUR BEDROOM DETACHED FAMILY RESIDENCE IN A PRIVATE RURAL COMMUNITY IN CONISTON COLD. SET IN APPROXIMATELY 2 ACRES OF LAND, GARDENS AND WOODLAND. A substantial and impressive detached ...",01756 535017,"£1,250,000","Dale Eddison, Skipton",4 bedroom detached house for sale
"Rossett Holt Grove, Harrogate, North Yorkshire",Added on 13/05/2021,"Having no onward chain and having searches in place, this exceptional property offering flexible accommodation has undergone substantial extension and a complete remodelling programme in recent months to now present a contemporary, five bedroom home of the highest quality and unique architectu...",01423 429026,"£1,250,000","Myrings Estate Agents, Harrogate",5 bedroom detached house for sale
"Kirkby-cum-osgodby, Market Rasen",Added on 25/05/2021,"A three bedroomed detached cottage positioned in this quiet rural location of Kirkby-cum-osgodby, close to the market town of Market Rasen. The property has internal accommodation to comprise of Side Entrance, fitted Kitchen with Breakfast Room, Utility Room/WC, Lounge, Dining Room and First Floo...",01673 244011,"£279,950","Mundys, Market Rasen",3 bedroom cottage for sale
"Beverley Road, Skidby, Cottingham",Reduced on 19/05/2021,"Unique Proposition - 4 Bedroom Detached Home in Skidy set in spacious grounds and a 3 Bedroom Holiday Cottage both with private driveways, plus stables and outbuildings. This home really is a one off - Call and book your viewing now!",01482 750065,"£1,250,000","William H. Brown, Willerby",4 bedroom detached house for sale
"Park Drive, Harrogate, North Yorkshire, HG2",Added on 26/05/2021,"Holmefield occupies a prime position, on the edge of The Oval, one of Harrogate's most sought after residential areas. The town centre is within close walking distance as are the Leeds Road amenities including Marks & Spencer's food hall.
The current owners have recently upgraded the property to...",01423 429050,"£1,250,000","Knight Frank, Harrogate",5 bedroom semi-detached house for sale
"Harrogate Road, Castley, Otley, LS21 2PX",Added on 01/05/2021,"A rare opportunity to acquire a substantial detached family home, with two additional cottages currently let on Assured Shorthold tenancies, set in grounds of approximately 1.984 acres.",01423 429011,"£1,250,000","FSS, Harrogate",10 bedroom detached house for sale
"Pot House Lane, Stocksbridge, Sheffield",,A development site measuring approx 1.5 acres with planning permission granted for the erection of 14 detached dwellings with an estimated GDV of circa £4m.,01226 977143,"£1,200,000","Lancasters Property Services, Penistone",Land for sale
"Sledgate Lane, Wickersley, Rotherham",Added on 22/04/2021,"A substantial nine bedroomed detached residence, situated within half an acre in a desirable location with magnificent far-reaching countryside views. The property presents a unique opportunity and great potential for modernisation or development (subject to necessary consents) to create a beauti...",0114 467 1685,POA,"Blenheim Park Estates, Sheffield",9 bedroom detached house for sale
"The Crescent, Middlesbrough, TS5",Added on 26/05/2021,"Strike offer to the marketplace an exceptional opportunity to develop a substantial property and its grounds into 30 quality apartments. This development opportunity is ideally situated to satisfy the growing demand for quality, secure, flexible living space that also affords easy access to the",03339 874629,"£1,200,000","Strike, Nationwide",30 bedroom block of apartments for sale
"Black House Farm & Cottage, Blue Ball Road, Ripponden HX6 4LR",Added on 27/04/2021,This stunning barn conversion stands in approximately one acre of grounds and features beautifully presented interiors which include an impressive open plan living / dining room with a magnificent stone fireplace at its heart. The property has been finished with quality fixtures and fittings t...,01422 757035,"£1,200,000","V G Estate Agent, Ripponden",6 bedroom character property for sale
"St Laurence's Church, Church Lane, Middleton One Row, County Durham",Added on 09/05/2019,"A stunning conversion of an 1870?s Parish Church with many traditional and original features providing a spacious, contemporary home",01434 410029,"£1,200,000","Finest Properties, Corbridge",7 bedroom character property for sale
"Linton Lane, Wetherby",Added on 28/01/2021,"A stunning five bedroom, three bathroom, detached family home set in an exclusive gated development of only three properties and occupying approximately 1/3 of an acre plot with detached double garage, off street parking for multiple cars and secluded gardens on three sides of the property.",01937 358002,"£1,200,000","Beadnall & Copley, Wetherby",5 bedroom detached house for sale
"Langthorpe Manor, Langthorpe, Boroughbridge, York, North Yorkshire YO51 9BZ",Added on 07/05/2021,"A spectacular property presenting a statement of both character and grandeur; offering an elegant façade of red brick elevations under a Welsh slate tiled roof, behind which you will find beautifully proportioned accommodation. The interior accommodation boasts huge charm and a wealth ...",01423 429033,"£1,200,000","Buchanan Mitchell Ltd, North Yorkshire",6 bedroom village house for sale
"Sandmoor Lane, Alwoodley, Leeds, West Yorkshire",Added on 19/05/2021,An ideal opportunity to acquire a superior detached property situated on this exclusive lane within the highly sought after North Leeds residential area of Alwoodley.,0113 451 3240,"£1,200,000","Fine & Country Manning Stainton, Leeds",5 bedroom detached house for sale
"Bank Foot Lane, Almondbury",Added on 24/05/2021,A simply outstanding Grade II listed detached residence situated in a highly regarded location between Almondbury and Farnley Tyas. The property offers spacious and flexible living accommodation with 4 bedrooms and is set within an acre of immaculately maintained gardens running down to a pictur...,01484 977039,"£1,200,000","WM. Sykes & Son, Holmfirth",4 bedroom detached house for sale
"Residential Building Land, High Street, Hook",,"The land is situated within the popular village of Hook, fronting onto High Street, having a return frontage onto River Walk and backing onto the banks of the River Ouse. This valuable building land, which extends to approximately 2.84 acres (1.15 hectares), has the benefit of Reserved Matters p...",01405 488105,"£1,200,000","Screetons, Howden",Land for sale
Modern House subject to planning in LS17,Added on 16/02/2021,"Monroe are delighted to market for sale this unique, bespoke house in LS17, which can be built working closely with a buyer to their desired finish and specification. This property is offered for sale subject to planning which is being submitted to Leeds City Council. ",0113 451 3118,"£1,200,000","Monroe Estate Agents, Leeds",4 bedroom detached house for sale
"Owler Park Road, Ilkley",Added on 20/05/2021,"AN OUTSTANDING PROPERTY DATING FROM THE 1920S OF GREAT CHARACTER OCCUPYING AN ELEVATED POSITION, PROVIDING UNPARALLED VIEWS OVER ILKLEY Forming part of the highly regarded Owler Park Road, Owl Wood features beautifully maintained gardens to the front and rear and is approached via a sweeping d...",01943 678316,"£1,200,000","Dale Eddison, Ilkley",4 bedroom detached house for sale
"Owston Hall, Walled Garden Project, Doncaster",,**INVESTORS AND BUILDERS OPPORTUNITY** EXCLUSIVE WALLED GARDEN WITH PLANNING PERMISSION SITUATED WITHIN THE GROUNDS OF OWSTON HALL ** Click through for main points and plan layout.,01977 325064,POA,"Enfields, Pontefract",Land for sale
"Selby Road, Garforth, Leeds, LS25 ",Added on 20/11/2020,"Lindholme offers nearly 6,000 Sq Ft of accommodation and is a five-bedroom detached family home located in Garforth enjoying an impressive southern aspect with a stunning outlook over the extensive gardens. Upon entrance to the ground floor, you are welcomed into a grand hallway with Granite and ...",0113 451 3212,"£1,200,000","Mike Dobson, Garforth",5 bedroom detached house for sale
"Whitecroft, Watt Lane, Ranmoor, Sheffield",Added on 29/05/2021,"**FREEHOLD** A truly exceptional, three bedroom, executive detached residence situated on this substantial plot of approximately 0.5 acres in the leafy suburb of Ranmoor. The property benefits from gas central heating and uPVC double glazing throughout, as well as a private entrance with electric...",0114 467 0263,"£1,200,000","Saxton Mee, Crookes",4 bedroom bungalow for sale
"Saundby Park Hall, Saundby",Added on 13/05/2021,"Saundby Park Hall is an outstanding five bedroom detached residence, situated in 7 acres of land including a 2 acre paddock and surrounded by countryside.",0114 467 0349,"£1,200,000","Redbrik, Crystal Peaks",5 bedroom detached house for sale
"Barnsley Road, Doncaster, South Yorkshire, DN5",Added on 12/03/2020,"RESIDENTIAL DEVELOPMENT SITEMANOR FARM, BARNSLEY ROAD (A635), MARR, DONCASTER, DN5 7AXThe main body of the site extends to approximately 1.5 acres (0.606h.a.) and is extremely convenient for access to the motorway network.",01302 960069,"£1,200,000","Grice and Hunter, Doncaster",House for sale
"Folkwood Grove, Sheffield",Added on 25/05/2021,"A substantial seven bedroomed detached residence, situated within a quiet cul-de-sac in a most sought-after location. This fabulous family home has open views to the rear, generously proportioned living over three floors and is also well placed for highly regarded local schooling.",0114 467 1685,"£1,200,000","Blenheim Park Estates, Sheffield",7 bedroom detached house for sale
"Residential Development Site, River Street, Huddersfield, HD3",Added on 02/11/2020,"The site comprises of 2.5 acres of residential land with planning permission for 39 apartments across three blocks and a further 14 dwellings. The land is nestled between established housing, fronting Scar Lane to the North, Aldi supermarket to the East and the river Colne running along the sout...",01484 977123,"£1,200,000",,House for sale
"Land At Woodcock Road, Flamborough, Bridlington, East Riding Yorkshire, YO15",,The site comprises 5.34 acres (2.16 ha) allocated for 55 dwellings under the Adopted Local Plan. There is an indicative capacity of 55 units.,01423 429100,POA,"Carter Jonas, Harrogate",Land for sale
"Abbey Road, Knaresborough",Added on 24/05/2021,"A prestigious development of a handful of impressive natural stone built properties on the sought after Abbey Road, overlooking the River Nidd.",01423 429044,"£1,195,000","Strutt & Parker, Harrogate",4 bedroom detached house for sale
"Oak Grove, Riddlesden",Added on 04/05/2021,"A DELIGHTFUL STONE BUILT END TERRACE COTTAGE with FRONT GARDEN and unexpected LARGE GARDEN TO THE REAR enjoying LOVELY VIEWS, located in a sought after village. This distinctive property has been lived in and loved by the present owner and enjoys a wealth of CHARM AND CHARACTER.",01535 447036,"£145,000","Wilman & Lodge, Silsden",2 bedroom end of terrace house for sale
"Grosmont House, Grosmont, Whitby, North Yorkshire, YO22",Reduced on 13/04/2021,"Grosmont House is a superb period property which manages to straddle being both a profitable commercial business and a large, elegant family home with the added bonus of income potential. The property is set in sizeable grounds and enjoys a wonderful position in the heart of this popular village....",01625 909043,"£1,195,000","Jackson-Stops, Alderley Edge",13 bedroom detached house for sale
"Abbey Road, Knaresborough",Added on 24/05/2021,"A prestigious development of a handful of impressive natural stone built properties on the sought after Abbey Road, overlooking the River Nidd.",01423 429044,"£1,195,000","Strutt & Parker, Harrogate",5 bedroom detached house for sale
"Abbey Road, Knaresborough",Added on 24/05/2021,"A prestigious development of a handful of impressive natural stone built properties on the sought after Abbey Road, overlooking the River Nidd.",01423 429044,"£1,195,000","Strutt & Parker, Harrogate",5 bedroom detached house for sale
"Swan Road, Harrogate, North Yorkshire, HG1",Added on 08/04/2021,"Cob House is a delightful Grade II listed townhouse, forming part of an attractive and elegant crescent in this highly sought after position. Cob House is a delightful Grade II listed townhouse, forming part of an attractive and elegant crescent in this highly sought after position. Within walk...",01423 429050,"£1,195,000","Knight Frank, Harrogate",5 bedroom terraced house for sale
"Skipton Road, Harrogate, North Yorkshire",Reduced on 18/05/2021,A beautifully situated detached barn conversion that features a characterful interior with flexible living space set in an acre of private gardens located on the fringe of Harrogate in a beautiful position. With CCTV to the exterior and electric security entry gates the property offers ample ...,01423 429025,"£1,190,000","Hopkinsons, Harrogate",4 bedroom detached house for sale
"Meaby's , 13A The Avenue, York, YO30 6AS",Added on 28/04/2021,A STUNNING EDWARDIAN TOWNHOUSE OFFERING STYLISH AND BEATIFULLY PRESENTED ACCOMMODATION IN A GORGEOUS LEAFY AVENUE CLOSE TO THE CITY CENTRE,01904 200080,"£1,185,000","Croft, York",4 bedroom town house for sale
"Clifford Avenue, Middleton, Ilkley",Added on 07/04/2021,A HIGHLY IMPRESSIVE STONE FRONTED DETACHED FAMILY HOME OFFERING EXCEPTIONAL AND IMAGINATIVELY EXTENDED FIVE BEDROOMED ACCOMMODATION IN AN ENVIABLE SETTING WITHIN LARGE PRIVATE LEVEL GARDENS AT THE END OF A QUIET TREE LINED AVENUE Located at the end of a quiet tree lined avenue in the popular M...,01943 678316,"£1,175,000","Dale Eddison, Ilkley",5 bedroom detached house for sale
"Green Lane, Kirby Wiske, Thirsk",,A highly productive block of mainly Grade 2 arable land with good road access and versatile cropping options.,01969 747018,"£1,175,000","GSC Grays, Leyburn",Land for sale
"Green Lane, Kirby Wiske, Thirsk",,A highly productive block of mainly Grade 2 arable land with good road access and versatile cropping options.,01969 747018,"£1,175,000","GSC Grays, Leyburn",Land for sale
"Chevet Lane, Sandal",Added on 15/01/2021,"Holroyd Miller are pleased to offer for sale ""Inglenook"" a stunning and impressive detached period residence which offers stunning accommodation over two levels, refurbished and re-designed by well renowned transform architect. Viewing a Must !",01924 767176,"£1,175,000","Holroyd Miller, Wakefield",4 bedroom detached house for sale
"Esplanade Mews, Peckitt Street, York, YO1",Added on 22/01/2021,"RIVER VIEWS, LUXURY LIVING, TERRACE AND A 3 CAR GARAGE IN THE CITY CENTRE. AVAILABLE NOW",01904 200062,"£1,175,000","Carter Jonas, York",4 bedroom house for sale
"Mount Terrace, York, YO24",Reduced on 18/02/2021,One elegant double fronted home,01904 200057,"£1,150,000","Savills, York",5 bedroom end of terrace house for sale
"The Old Vicarage, Kildwick",Added on 29/05/2021,"This beautiful principally Georgian country house of great presence and character in an elevated south facing position provides wonderful family living. Comprising six bedrooms, three reception room set in just under two acres of land with private mature gardens, Victorian walled garden, stables ...",01756 535017,"£1,150,000","Dale Eddison, Skipton",6 bedroom detached house for sale
"Wharfedale Court, Menston.",Added on 23/05/2021,"A SIMPLY STUNNING DETACHED FAMILY HOUSE which is nestled away into the contours of breath-taking Yorkshire countryside and mature parkland, The Glade at High Royds in Menston is a bespoke development of just 15 executive homes, built in the style of a Yorkshire village.",01943 678326,"£1,150,000",,6 bedroom detached house for sale
"Cowrakes Road, Lindley, Huddersfield, West Yorkshire, HD3",Reduced on 24/05/2021,"*Internal photos and virtual tour available on request* Gatesgarth is a spectacular 8 bedroom detached Victorian Villa measuring over 7000 sq. Feet, that occupies a stunning position within private woodland grounds of approximately 1.5 acres which provides everything you could ever wish to find i...",01422 757022,"£1,150,000","Bridgfords, Halifax",8 bedroom detached house for sale
"De Brus Park, Marton",Added on 11/08/2020,Masterful design and modern luxury are uniquely embodied in this stunning executive home situated in one of Teesside's most prestigious locations.,01642 268116,"£1,150,000","Harvey Brooks Properties Ltd, Marton",5 bedroom detached house for sale
"Meaux, Beverley, HU17",Added on 17/05/2021,"THERE IS ONLY ONE WORD TO DESCRIBE THE LIFESTYLE THIS SUBSTANTIAL BARN CONVERSION, STANDING IN FIVE ACRES, PROVIDES AND THAT IS STUNNING",01482 750198,"£1,150,000","Beercocks as Fine & Country, Willerby",5 bedroom detached house for sale
"Rufford Avenue, Yeadon",Added on 20/05/2021,"FEW PROPERTIES HAVE THE ABILITY TO STIR EMOTION EVEN BEFORE STEPPING THROUGH THE THRESHOLD. HOWEVER, THIS PROPERTY DOES EXACTLY THAT, AND THE BEST WAY TO DESCRIBE IT WOULD BE EXQUISITE AND PRESTIGIOUS. BENEFITING FROM A CHAIN FREE POSITION, AND SET IN A HIGHLY DESIRABLE AREA, BOASTING BREATH TA...",0113 451 3077,"£1,150,000","Hardisty Prestige, Horsforth",4 bedroom detached house for sale
"Borough Road, Middlesbrough",Added on 29/03/2021,A large prominent building located in Middlesbrough town Centre currently operating as a 29-bed HMO. This will appeal to a range of professional investors. The property is made up of 4 adjoining units which have been redeveloped to a very high standard throughout and now repre...,01642 268011,POA,"Horizon Sales & Lettings, Middlesborough",29 bedroom house for sale
"60 Kings, Hudson Quarter, York YO1 6AE",Added on 26/03/2021,"**PERFECT for CITY LIVING** A STUNNING three bedroom PENTHOUSE apartment with dual aspect balconies and PARKING located in this NEW contemporary, CITY CENTRE development. **READY NOW**",01904 200036,"£1,150,000","Hudson Moody, Micklegate",3 bedroom apartment for sale
"Blacker Green Lane, Silkstone, Barnsley",Added on 20/07/2020,"A stunning country home set within landscaped grounds approaching 2 acres, enjoying the most enviable of settings, privately enclosed within a tree lined border and offering the option of an additional 2 acres with extensive equestrian facilities.",01484 977058,"£1,125,000","Fine & Country, Huddersfield",5 bedroom detached house for sale
"Stringer House Lane, Emley, Huddersfield",Added on 21/04/2021,"STANDING IN APPROX 0.6 OF AN ACRE OF LOVELY GARDENS, STABLE YARD THIS SUPERB, DETACHED, STONE BUILT FAMILY HOME ALSO IS SERVED BY A ONE AND A QUARTER FIELD WHICH COMPLIMENTS THIS EQUESTRIAN HOME SUPERBLY. THE SPACIOUS FOUR BEDROOMED, WELL BUILT DETACHED HOUSE HAS TWO EN-SUITES, A TOP FLOOR STUDIO...",01484 977059,"£1,100,000","Simon Blyth, Kirkburton",5 bedroom country house for sale
"Clifton View Apartments, York",Added on 01/03/2021,"A fantastic opportunity to purchase a block of four modern two bedrooms apartments, set amongst some delightful communal gardens and also featuring allocated parking spaces. All the properties are currently let out with tenants in place and offers a total yearly income of approximately £49,0...",01904 200099,"£1,100,000","Linley and Simpson, York, York",8 bedroom block of apartments for sale
"Brandon Crescent, Shadwell, LS17",Added on 21/04/2021,A beautifully presented barn conversion which offers approximately 3000 sqft of accommodation and boasts stunning country views over rural green belt.,01937 358014,"£1,100,000","Furnell Residential, Leeds",4 bedroom detached house for sale
"Bingley Road,
Menston,
LS29 6BA",Added on 13/05/2021,"The Mulberry benefits from an OPEN PLAN kitchen dining and family area, a DUAL ASPECT living room, a STUDY, plus FRENCH DOORS leading to the rear garden. The master bedroom has an ENSUITE whilst the MODERN family bathroom serves bedrooms 2, 3 and 4",0113 451 0475,"£444,995",Bellway Homes (Yorkshire),4 bedroom detached house for sale
"Union Street, Harrogate",Added on 11/02/2021,"INVESTMENT OPPORTUNITY An exceptionally rare opportunity to purchase this purpose built block of self contained apartments, located in the very heart of the Harrogate town centre, having been built to an extremely high standard and with the benefit of parking space for one vehicle. <",01423 429032,"£1,100,000","Nicholls Tyreman, Harrogate",8 bedroom block of apartments for sale
"Residential Development Opportunity, Bawtry Road, Blyth",,"GUIDE PRICE £1,100,000 1.950 ACRES - 0.789 HECTARES FULL PLANNING FOR 10 EXECUTIVE HOMES Doncaster 12 miles, Sheffield 20 miles, Nottingham 30 miles. Retford main line station 10 miles. Doncaster/Sheffield 8 miles.",01636 377025,"£1,100,000","Alasdair Morrison and Partners, Newark",Land for sale
"Piccadilly, York, YO1",Reduced on 10/05/2021,** OPEN DAY SATURDAY 22ND MAY - CALL NOW TO BOOK YOUR APPOINTMENT ** An EXCEPTIONAL 3 bedroom STYLISH apartment located in this CENTRAL location,01904 200062,"£1,100,000","Carter Jonas, York",3 bedroom penthouse for sale
"Berneslai Close, Churchfields,Barnsley,Barnsley,South Yorkshire,S70 2BH",,"A fantastic investment opportunity to purchase potential building land and two commercial dwellings which have an annual income of £89,208.72.   Please click to find out more.
",01226 448844,"£1,100,000","NestledIn, Barnsley",Land for sale
